,Company Name,Company Description,Company Address,Company Website,Company tel Number,Company Emails,Company linkedIn,Comapany Country name
140,Marlink,"Marlink is a trusted partner for fully managed smart network solutions, based on an intelligent hybrid network and unrivalled digital solutions. The company provides Smart Network Solutions, connecting people and assets around the globe and across all markets where conventional connectivity cannot reach or is not available. Marlink’s Intelligent Hybrid Network combines global satcom and terrestrial technologies via a proprietary global infrastructure. Customers operating in remote environments can rely on Marlink's multi-band connectivity services enhanced by mobile and terrestrial connectivit",Stand: F-F20,https://www.marlink.com/,65||98321822,mailto:sales.asia@marlink.com,https://www.linkedin.com/company/marlink/,Germany
141,Masson Marine Propulsion Pte Ltd,"Masson Marine is a French company established in 1908. We manufacture and sell gearbox, shaft and propeller (FPP CPP). Everything made in France Our products equip all kinds of vessels in work applications. Power ranges from 500 HP to 5000 HP, with reduction ratios as high as 14, and propeller diameters up to 5 meters. Masson Marine also has hybrid solution thanks to connection Power take off and Power take in. Our package cover all the transmission of your boat Limited to 1000 characters",Stand: D-T10,https://www.masson-marine.com/,(+65) 96289552,mailto:s.agaisteen@masson-marine.com,https://www.linkedin.com/company/masson-marine/,Singapore
142,MediaComz International Pte Ltd,"MediaComz International Pte Ltd, is a Singapore based publishing and events management company. In their stable of publications are Petromin Marine & Offshore (previously PetroMin), first published in 1974, the Asia Pacific's first and most established oil & gas and marine magazine covering exploration, drilling, production, pipeline activity, naval architecture and marine technology; and Petromin Fuels & Power (previously Hydrocarbon Asia), which covers refining, petrochemicals and gas processing since 1990. We are also a Technology Conference organizer.",Stand: D-T11,https://petrominonline.com/,(+65) 62223422,mailto:mary@mediacomz.com,No Data,Singapore
143,Merlin Diesel Systems Ltd,"Merlin Diesel has been at the forefront of aftermarket diesel fuel injection for over 70 years, from small beginnings in West Yorkshire to what it is today. Under our current chairman Ken Bramley, Merlin has grown to have branches in Lancashire, London and China, employing over 90 people with a global distribution network to over 100 countries.",Stand: E-K05,https://www.merlindiesel.com/,(+44) 01772694180,mailto:info@merlindiesel.com,https://www.linkedin.com/company/merlin-diesel-systems-ltd,United Kingdom
144,METIS Cyberspace Technology S.A.,"METIS Cyberspace Technology specializes in Data Acquisition, Real-time Performance Monitoring and Intelligent Analytics for the Maritime Industry, based on advanced Machine Learning and Artificial Intelligence techniques. Based in Athens, the core of METIS is its team of skilled engineers and researchers whose innovative thinking, maritime business know-how and expertise in high-end technologies are empowering shipping’s digital transformation.",Stand: F-E08,https://www.metis.tech/,(+30) 2130075000,mailto:info@metis.tech,https://www.linkedin.com/company/17883253/admin/,Greece
145,Milestone Systems,"Milestone Systems is a leading provider of open platform video management software; technology that helps the world see how to ensure safety, protect assets and increase business efficiency. Milestone en-ables an open platform community that drives collaboration and innovation in the development and use of network video technology, with reliable and scalable solutions that are proven in more than 500,000 sites worldwide. Founded in 1998, Milestone is a stand-alone company in the Canon Group.",Stand: E-L08,https://www.milestonesys.com/,(+65) 3158 9911,mailto:sales@milestonesys.com,https://www.linkedin.com/company/milestone-systems/mycompany/,Singapore
146,MJ DE-YI INTERNATIONAL LTD.,"We are aftermarket gasket manufacturer, focusing on producing high-quality hard material gaskets for diesel engines and engine related devices in multiple industries.",Stand: D-U11,https://www.mjgasket.com/,No data,No Data,https://www.linkedin.com/company/mjgasket/,Taiwan
147,MOBILIS,"Created in 1990, MOBILIS has stood out to be today the world leader in the Aids To Navigation sector. Manufacturer of Aids To Navigations equipment, MOBILIS designs, develops, manufactures and distributes reliable premium quality products at the cutting edge of technology to meet tomorrow’s requirements. The internal engineering department ensures continuous monitoring of products and their development in line with the needs of the markets and our customers. Our engineering solutions are personalized and meet all technical, operational and regulatory requirements.",Stand: D-T22,https://www.mobilis-sa.com/,(+33) 0442371500,mailto:mobilis@mobilis-sa.com,https://www.facebook.com/MOBILIS.NavAids/,France
148,Modern Automation & Engineering Pte Ltd,"Since 1990, Modern Automation & Engineering Pte Ltd has embarked in the marine & offshore industry and with excellence and professional experience as a marine system manufacturer in Singapore for more than 30 years. Marine system include cargo tank level & temperature monitoring system, cargo tank pressure monitoring system, ballast tank combustible gas alarm, pump room gas alarm – combustible, H2S and oxygen, bunker tank (level gauging and high level alarm), vapour emission control system, fixed type oxygen analyzer for IGS and many more.",Stand: E-N11,https://www.modernautomation.com.sg/,(+65) 64516313,mailto:enquiries@modernautomation.com.sg,No Data,Singapore
149,MOLA SUBSEA SERVICES PTE LTD,No Data,Stand: F-F32,http://www.molasubsea.com/,+65 69090903,mailto:sales@molasubsea.com,No Data,110 Tuas South Ave 3
150,Motion Smith,No Data,Stand: D-R26,No Data,No data,No Data,No Data,Singapore
151,MPCC UK LTD,Supplying original/OEM and the highest quality replacement parts for European compressors and pumps. With warehouses in Singapore and the UK we can supply your vessels on time.,Stand: E-K08,https://www.mpcc.co.uk/,No data,No Data,https://www.linkedin.com/company/mpccuklimited/,United Kingdom
152,Muns Techniek BV,"Muns Techniek is a system integrator for Hydraulic systems and Electrical controls. With more than 30 years of experience we offer Hydraulic and Electric Solutions for projects in the Maritime, Offshore and Industry. From single solutions like hydraulic winches to complete turn-key projects as jack-up systems, Muns Techniek is the ambitious partner to integrate customer demands into motion technology. One of the strengths of Muns Techniek is the capability to integrate hydraulic power with intelligent electric control and software into a full operational system. Muns Techniek has proven to be",Stand: E-J31,https://www.munstechniek.nl/,(+31) 183307000,mailto:info@munstechniek.nl,https://www.linkedin.com/company/muns-techniek-bv/mycompany/?viewAsMember=true,Netherlands
153,NABTESCO MARINE ASIA PACIFIC PTE LTD,"Nabtesco Marine Asia Pacific Pte Ltd was established on 1998 at Singapore as a key Service Station of Nabtesco for South East Asia & Oceania region. In Singapore, Nabtesco Marine Asia Pacific Pte Ltd provides service, repair, and sales of Nabtesco Marine Control Systems which are widely used by major marine diesel engine manufacturers. Our company also offers 24 hour support, troubleshooting, system inspections, and training. Limited to 1000 characters",Stand: F-D11,https://www.nabtesco-marine.com.sg/,(+65) 62256559,mailto:apm_exh@nabtesco.com.sg,No Data,Singapore
154,"NAMBU CO., LTD.","Compared to Air blow gun, Supergun has three functions which is suction, blowing, Suction-blowing at the same time. It can trasport, collect, and remove foreign materials from the deep and recessed crevices. Supergun uses compressed air for power source. therefore, it doesn't generate heat even it is used for long time. it is a semi-permanent product, convenient, safe, and improvement of environment, and a multifunctional airgun.",Stand: F-D03,https://www.supergun.co.kr/en,(+82) 55-291-8620,mailto:nambu@supergun.co.kr,No Data,South Korea
155,"Nantong Liwei Machinery Co., Ltd","Nantong Liwei Machinery Co.,Ltd. is a deck machinery factory which was established in 1958.Our products include winches,windlass,cranes,capstans which are used for Offshore platform,all kinds of Engineering vessels,Scientific research vessels,Bulk cargo containers,etc.Products Certificates:ABS,DNV-GL,RINA,BV,RMRS,CCS,NK,etc.",Stand: D-T21,https://www.ntlw.com/,(+86) 15062775568,mailto:xxh@ntlw.com,No Data,China
156,NASCENT MARITIME PVT LTD,We carry large - smart inventory of Marine Automation Control System Services & Spares. Fire & Safety (Smoke - Heat - Flame Detectors) Main Engine Pneumatic Remote Control System Service & Spares. Governor Servicing & Supply on Exchange Basis. Main Engine-Auxiliary Engine Spares & Filters. Automatic Voltage Regulators (AVR),Stand: E-Q35,https://www.nascentmaritime.com/,(+91) 77 2499 2499,mailto:nascenteng@gmail.com,https://www.linkedin.com/organization-guest/company/nascentmaritimepvtltd?challengeId=AQGQAGYJc_xQ3wAAAXD3im4bXW7CRXqew,India
157,"Navis, LP","""Navis is a provider of operational technologies and services that unlock greater performance and efficiency for the world’s leading organizations across the cargo supply chain. Navis combines industry best practices with innovative technology and world-class services, to enable our customers, regardless of cargo type, to maximize performance and reduce risk. Through its holistic approach to operational optimization, Navis customers benefit from improved visibility, velocity and measurable business results.",Stand: D-S32,https://navis.com/en/products/carrier-vessel-solutions,No data,mailto:selke.eichler@navis.com,https://www.linkedin.com/company/165121/admin/,Germany
158,Navitron Systems Ltd,No Data,Stand: F-G02,No Data,No data,No Data,No Data,United Kingdom
159,Netherlands Maritime Technology,"The Netherlands Maritime Technology (NMT) trade association is the first port of call for and primary representative of the Dutch maritime technology sector. Our 400+ members include shipyards, marine equipment suppliers and service providers, all united within a close and highly successful network.","Stand: E-K28, E-J28",https://maritimetechnology.nl/,(+31) 612427062,mailto:Lacet@maritimetechnology.nl,https://www.linkedin.com/company/netherlandsmaritimetechnology/,Netherlands
160,Nightsearcher,No Data,Stand: E-P07,No Data,No data,No Data,No Data,United Kingdom
161,Niigata Power Systems (Singapore) Pte Ltd,"""We IHI Power Systems, an expert in the power systems industry provide an extensive range of diesel engines and azimuth thruster products, as well as designing, manufacturing, marketing and consulting services. We are one of the leading suppliers for diesel engines and azimuth thrusters (Z-Peller). The only manufacturer in the world making azimuth thrusters coupled with main engines within the same factory, delivering them as a total propulsion package. Our office in Singapore, NPSS cover mainly the sales and after sales service in the Asean and Middle East Region.""",Stand: F-G16,No Data,No data,No Data,No Data,No Data
162,Nippon Kaiji Kyokai (Class NK),"Founded in 1899, ClassNK is a ship classification society dedicated to safer and cleaner seas. On top of diverse technical services including surveys and classifications of ships and marine structures based on its own rules, statutory certifications on behalf of more than 110 flag states, management system certifications in line with ISO and other international standards, ClassNK has committed to provide the industry with its full support to pave the way for digitalization and decarbonization challenges.",Stand: E-L20,https://www.classnk.com/,(+81) 352262047,mailto:eod@classnk.or.jp,No Data,Japan
163,Noris Automation Far East Pte Ltd,"For over 95 years NORIS has been one of the leading specialists in the fields of instrumentation and automation for the shipbuilding industry, transport technology, machinery and plant engineering. We develop, produce and sell customized products and solutions both as one-off items and in series for rail and special-purpose vehicles. We equip ships with automation systems for engines, propulsion systems and general marine engineering – everything from a single source and everything made in Germany!",Stand: E-M15,https://www.noris-group.com/1,(+65) 96899393,mailto:frast.tan@norisautomation.com,https://www.linkedin.com/company/norisgroup/?originalSubdomain=sg,Singapore
164,"NRTEC Co.,Ltd","NRTEC Co., Ltd. eNvironment Recovery TEChnology",Stand: F-D05,https://www.nrtec.co.kr/,(+82) 10-9582-3569,mailto:hyunho.bae@nrtec.co.kr,No Data,South Korea
165,Octopus Impex Pte Ltd,No Data,Stand: E-L07,No Data,No data,No Data,No Data,Singapore
166,"OSCG CO., LTD","OSCG was established in 1983, and has become a key player and supplier for Ex cable glands and Junction Boxes in the world. OSCG is available with a lot of international explosion proof certificates: ATEX, IECEx, TR CU, KCs, CCC, PESO & INMETRO. NR TL(well known as UL and C SA) for American market is under process The classification of RMRS, ABS and DNV are available.",Stand: F-G35,http://www.oscg.net/,(+82) 1067307525,mailto:oscg@oscg.net,No Data,South Korea
167,Pacific Central Teknik Pte. Ltd,"Incorporated in Singapore on 7th November 1995, Pacific Central Teknik Pte (PCT) has continued to provide product, solutions and expertise across the Marine and other industries by delivering full product support, accessories and parts procurement, installations, servicing and repairs, upgrading & modification works, maintenance and risk management. Our main agency product includes Kral Pump & Flowmeter, Wencon repair kit, GSZ Boiler, Oilon Burner, Hp pump & Greenoil filtration system.",Stand: E-M20,https://www.pacific-central.com/,(+65) 98164961,mailto:bryan@pacentek.com.sg,No Data,Singapore
168,Pacific Engineering & Services Pte Ltd,"Pacific Engineering & Services Pte Ltd was established in 1992 with the objectives of serving the growing regional economies, in particular the Marine, Offshore and Building Industries. We have progressed and gained reputation as a major supplier of marine pumps, tank gauging systems, air compressors, inclinometers, eductors, float level switches, and electric & control systems. Over the years, we have further involved in Food & Beverages Industries, Chemical Industries, Sewage and Water Works etc.",Stand: F-G26,https://www.pacificglobal.com.sg/,(+65) 67633039,mailto:sales1@pacificglobal.com.sg,https://www.linkedin.com/company/7791080/admin/,Singapore
169,Pacific Ship’s Plants & Industries Pte Ltd,We Bridge the Needs of Regional Customers and Quality Agency Products with Technical Supports and System Integration,Stand: F-G26,https://www.%20pacificglobal.com.sg/,(+65) 97290296,mailto:daniel.loh@pacificglobal.com.sg,https://www.linkedin.com/company/pacific-engineering-&-services-pte-ltd/,Singapore
170,Hach Company,"Since 1933, Hach® has made water analysis better, faster, simpler, greener, and more informative by creating innovative solutions for process, lab, and handheld applications. Within the maritime industry, Hach technologies can be found onboard vessels around the world -- ranging from gas scrubber applications, waste and potable water monitoring, to ballast water disinfection and recreational water monitoring. Hach supports the mission-critical systems of ship owners and operators, including: Maintaining SOx compliance without hiring additional onboard expertise Avoiding fines by meeting the IM",Stand: E-L37,No Data,No data,No Data,No Data,No Data
171,PANASIA,"Since 1989, PANASIA has maintained a firm belief in Eco-friendly technologies, and our efforts in this area have paid off over time. At PANASIA, we have stayed on the leading edge of new developments in green technologies, and continued to take on new challenges by looking for ways to coexist with nature. To pursue efforts in the air quality, water quality, and renewable energy sectors, we have made ongoing investments in R&D and human resources over the years. These have led to our successful development of eco-friendly proprietary technologies that can help humans and nature coexist.",Stand: E-L10,http://www.worldpanasia.com/,(+82) 70-4860-8047,mailto:pr@worldpanasia.com,No Data,South Korea
172,Paterson Integrated Engineering Pte Ltd,Paterson Integrated Engineering Pte Ltd business covers the both the trading and engineering integration of offshore and marine equipment and systems for the marine and offshore sectors.,Stand: F-G26,https://www.pacificglobal.com.sg/,(+65) 67600928,mailto:cecilia.lee@pacificglobal.com.sg,No Data,Singapore
173,Pe-Gu Maritime Ltd.,No Data,Stand: F-G38,No Data,No data,No Data,No Data,Turkey
174,PEINER SMAG Lifiting Technologies GmbH,No Data,Stand: E-M06,No Data,No data,No Data,No Data,Germany
175,PEINER SMAG Lifiting Technologies Pte Ltd,"PEINER SMAG Lifting Technologies (PSLT) is the world's leading manufacturer of grapples and load handling attachments for bulk handling. The plants in Germany (Salzgitter, headquarters), China (Shanghai) and India (Ranipet) develop and manufacture grabs for all handling tasks on the basis of proven PEINER know-how , including in ports, on ships, in steelworks, waste incineration plants and recycling companies and in junkyards. The portfolio is supplemented by container spreaders from RAM Spreaders. This makes PSLT the only full-service provider for bulk and container handling in the world.",Stand: E-M06,https://www.peiner-smag.com/,No data,No Data,https://www.linkedin.com/company/peiner-smag-lifting-technologies-pte-ltd/?viewAsMember=true,Singapore
176,Peiner SMAG Machinery (India) Pvt. Ltd.,No Data,Stand: E-M06,No Data,No data,No Data,No Data,India
177,Pleiger Maschinenbau GmbH & Co KG,"Pleiger Maschinenbau as a member of the Pleiger Group has the main focus on remote controlled valve systems in shipbuilding and offshore applications, tank management and remote control engineering for vessels and industrial hydraulic system solutions.",Stand: E-M29,https://www.pleiger.de/,+492324398240,mailto:pm@pleiger.de,No Data,Im Hammertal 51
178,POWER INSTRUMENTS PTE LTD,"Power Instruments Pte Ltd is a leading, reputable solution provider for Remote Monitoring, Power Generation, Protection and Instrumentation. We have served the Marine industry by providing innovative solutions including our proprietary Fuel Monitoring System and Power Management System. Our strong team of engineers are committed to serve the region by delivering high quality engineering solutions and peace of mind services to our valued customers. eGenkit Fuel Monitoring System (eFMS) provides ship owners and charterers an online web-platform to continuously monitor vessel activities, engine p",Stand: E-P27,https://powerinstruments.sg/,(+65) 62881183,mailto:sales@powerinstruments.com.sg,No Data,Singapore
179,"Power Products, LLC",No Data,Stand: F-E17,No Data,No data,No Data,No Data,New Zealand
180,Praxis Automation Far East Pte Ltd,"Praxis Automation Technology develops, manufactures and delivers innovative ship automation, navigation and electric propulsion equipment for all types of vessels.",Stand: E-J30,https://www.praxis-automation.nl/,No data,No Data,No Data,Netherlands
181,Protea,"Protea manufacture Extractive and In-situ, Infra-red and Ultraviolet analyser systems for the continuous monitoring and reporting of process and emissions applications. In addition, they manufacture a range of accessories providing a capability to measure in more extreme conditions. Protea’s analysers embody many advanced and proven techniques including an ability to monitor multiply gas species with one instrument. The instruments are able to continuously monitor stack and process gases in demanding applications with a high degree of accuracy.",Stand: E-K07,https://www.protea.ltd.uk/,(+44) +441270872000,mailto:sales@protea.ltd.uk,https://www.linkedin.com/company/protea-ltd-/,United Kingdom
182,PT Kemenangan,"""PT KEMENANGAN is a manufacturing company established since 1954 in Indonesia. Our head office is in Jakarta, while our factory is Cileungsi on a 4 hectare land. We produce high quality Navigation Buoys and Mooring Buoys made of PolyEthylene as well as Steel. We also produce Rub Strips, Rubber Fenders, Tug Boat Fenders, Rubber Hose, PE Floats, PVC Hose, and PE Boats. Our brand is KEMAN. We also sell, repair, and rent out Pneumatic Fenders, Rubber Hose, and Mooring Buoys. Our engineers steadily improve and test our products.",Stand: E-J19,https://www.kemenangan.co.id/,(+62) 816-769-215,mailto:imanuel@kemenangan.co.id,https://www.linkedin.com/company/pt-kemenangan,Indonesia
183,R.W. FERNSTRUM & COMPANY,No Data,Stand: E-L02,No Data,No data,No Data,No Data,United States
184,Radio Holland Singapore,"Radio Holland contributes towards safety of life at sea by delivering critical marine electronic solutions and providing global on-board and remote services. We are proud of our reputation as the leading global NavCom, Connectivity, Integration and Service & Maintenance provider. Available 24/7, Radio Holland connects its customers to an unrivaled global service network of over 60 locations along major shipping routes. Our class approved, skilled technicians deliver top quality, on-the-spot services with the highest first-time-fix rate in the industry. Radio Holland offers cost-saving fleet se",Stand: E-J29,https://www.radioholland.com/,(+65) 96701606,mailto:service.asia@radioholland.com,https://www.facebook.com/radiohollandgroup,Singapore
185,Raytheon Anschuetz Singapore Pte Ltd,"Raytheon Anschütz GmbH is one of the world's leading manufacturers of integrated bridge systems and nautical equipment such as gyro compasses, autopilots, steering control systems, monitoring systems, radar systems, electronic sea chart equipment and communication (GMDSS) for ships. Raytheon Anschütz GmbH has a major share of the market for equipment for sea-going ships and ships for inland waterways. Today approx. 500 employees and a worldwide network of sales and service representatives guarantee that all ships can be served ""round the clock"". The establishment of Raytheon Anschuetz Singapo",Stand: E-H02,https://www.linkedin.com/company/raytheon-anschuetz-singapore-pte-ltd,(+65) 64730042,mailto:anschuetz.sg.sales@raytheon.com,https://www.linkedin.com/company/raytheon-anschuetz-singapore-pte-ltd,Singapore
186,REINTJES Asia Pacific Pte . Ltd.,"Since 1929, REINTJES has been manufacturing marine gearboxes, especially for workboats, fast ships and fast ferries in the power range 250 to 30,000 kW. Today, we also supply complete drive systems, hybrid solutions, and industrial gearboxes. The company has been part of the Eugen-REINTJES Foundation since 1961, which was founded to promote health and social work in Hameln. Each REINTJES product is manufactured with utmost care and precision and there is not a single gearbox that leaves our production department without having been tested on the REINTJES in‐house test bench.",Stand: E-N12,https://www.reintjes-gears.de/en,(+65) 97210822,mailto:Damien.Khoo@reintjes.com.sg,https://www.linkedin.com/company/reintjes-gmbh/,Singapore
187,Remora Networks Solutions Pte Ltd,ICT and Robotics Company,Stand: E-L30,https://www.remora-solutions.com/,(+65) 91908585,mailto:Calvin@remora-solutions.com,https://www.linkedin.com/company/remora-networks-solutions-pte-ltd/mycompany/?viewAsMember=true,Singapore
188,RINA Singapore,"With 160 years of experience in the marine industry, RINA is a multinational company that helps build strong successful businesses. Through a network of 200 offices in 70 countries, we provide classification and technical advisory services to meet the challenges of designing and building ships ever more demanding in performance, safety and environmental sustainability. We have been operating in the maritime sector since 1861.",No data,http://www.rina.org/,No data,No Data,https://www.linkedin.com/company/rina/,Singapore
189,Rio Logistics (S) Pte Ltd,"""RIO Logistics Pte Ltd will be able to provide very competitive rates with the added advantage of having someone who has had the experience of handling the operations. RIO Logistics Pte Ltd has a global logistics network of partners to assist you in achieving your required needs anywhere in the world. If you are looking for a high-degree solution while remaining cost-effective, you have our one-stop solution at RIO Logistics.",Stand: D-R32,https://www.riolog.com/,(+65) 68634644,mailto:ship@riolog.com,No Data,Singapore
190,Rivertrace,"Rivertrace Limited is a market leader with over 38 years’ experience of water quality monitoring. Rivertrace manufacture water quality monitors including ODME’s, 15ppm Bilge Alarms, Scrubber Washwater Monitors and Equipment Performance Monitors for the marine and offshore markets with up to date technological engineering solutions to meet strict regulatory requirements. Our client list includes Japanese, European and US separator manufacturers as well as Major Singaporean and International Shipyards and Vessel Operators. Our global network of agents ensures local sales, service and technical.",Stand: E-K12,https://www.rivertrace.com/,(+44) 01737775500,mailto:sales@rivertrace.com,No Data,United Kingdom
191,Riviera Maritime Media,"Riviera Maritime Media is a specialist publisher and event organiser within the maritime and offshore industries. Their magazines, websites, webinars and live events provide authoritative, detailed reviews and expert analysis of the key trends, technologies and international developments that senior technical and operational management in the shipping industry need to know about. Their international readership trusts them to bring them intelligent commentary and detailed, unbiased reporting on the issues that affect their core business and strategic commercial decisions.",Stand: E-J50,https://www.rivieramm.com/,(+65) 94563165,mailto:kym.tan@rivieramm.com,https://www.linkedin.com/company/rivieramm/,Singapore
192,ROG - Rotterdam Offshore Group,"For each ship around the globe, the right equipment for each job, scheduled and unscheduled ship repair and maintenance are critical elements within their business process. Our customers rely 24/7 on the knowledge, craftsmanship and professional facilities of ROG, both dockside and on-site. Your company, business process and the vessels equipped for each job are unique. Listening to and processing your needs are therefore the most important aspects of our initial work. Our sales and engineering departments cooperate seamlessly.",Stand: E-J25,https://www.ship.repair/,(+31) 0654220088,mailto:martin@ship.repair,https://www.linkedin.com/company/rotterdam-offshore-group/mycompany/?viewAsMember=true,Netherlands
193,Rolls-Royce Solutions Asia Pte Ltd,"""Rolls-Royce provides world-class power solutions and complete life-cycle support under the product and solution brand mtu. For decades, commercial marine operations have trusted mtu propulsion systems at sea, in rivers and lakes around the world. Depending on your individual requirements, we offer different solutions such as our marine diesel and gas engines and hybrid marine systems. They perform reliably and efficiently as main or ancillary drive systems and provide energy as on-board power supply systems.",Stand: E-L26,https://www.mtu-solutions.com/,(+65) 68615922,mailto:asiamarine@ps.rolls-royce.com,https://sg.linkedin.com/company/rolls-royce-solutions-asia,Singapore
194,Rubber Design,"Rubber Design - vibration and noise control Rubber Design is an international leading specialist when it comes to offering solutions for vibration, noise and shock related problems, as well as turn-key custom-built propulsion system solutions. Rubber Design is your reliable partner for vibration and noise solutions in both maritime and industrial applications. For example, our engine mountings are used by many engine manufacturers for the flexible support of main and auxiliary engines and generator sets to reduce structure borne noise. Rubber Design also supports you with the complete design f",Stand: E-K32,https://www.rubberdesign.nl/,(+31) 786778778,mailto:info@rubberdesign.nl,https://www.linkedin.com/company/rubber-design,Netherlands
195,S&SYS.Co.Ltd.,"S&SYS, the former division of Machinery & Electric System of Samsung Heavy Industries(SHI) in Korea, was founded as a independent company in 2017 September. S&SYS is a professional company of BWMS(Samsung Purimar), switchboard, and automation business, succeeding previous marine solution business of SHI. SHI is still a largest shareholder of S&SYS.",Stand: F-F30,https://www.snsys.net/,(+65) 81595761,mailto:js2017.lee@snsys.net,No Data,South Korea
196,SA Equip,No Data,Stand: E-P07,No Data,No data,No Data,No Data,United Kingdom
197,Sanli Environmental Limited,"""Sanli is an environmental engineering company listed on the Catalist Board of Singapore Exchange since 2017. Sanli has a strong commitment to the achieving better environment for everyone, we seek the latest technologies and product as solution to environmental protection and making our environment a safer and better place to live in. Sanli is the exclusively distributor for MagTreat® - Magnesium hydroxide (MgOH2) which is a chemical for wastewater and exhaust gas treatment here in Singapore and the region. MagTreat® can be use for Exhaust Gas Cleaning System on board ships.",Stand: E-L42,https://www.sanli.com.sg/,(+65) 6578 9269,mailto:enquiry_MgOH@sanli.com.sg,No Data,Singapore
198,Scanjet Asia Pacific Pte Ltd,"Scanjet is dedicated to developing and manufacturing tank management equipment for the Marine & Industrial industry. We focus entirely on the cargo tanks where most of the revenue is generated for the operators. We are confident that by supplying high quality solutions we will support our clients in their work to optimize the operation onboard the vessels for many years to come. Being the market leader for marine tank cleaning installations, we have a long reputation within the marine industry and numerous of sailing vessel references.",Stand: E-P08,https://www.scanjet.se/,No data,mailto:sales@scanjet.sg,https://www.linkedin.com/company/scanjet-marine,Singapore
199,Scanvik Marine Services Pte Ltd,"Scanvik Marine Services Pte Ltd was established in October 2003. Our main business area is in the marine and offshore area. We represent the following Scandinavian marine equipment manufacturers for the South East Asia region for sales and service: • Brunvoll Thruster – Retractable, propulsion & tunnel thrusters • Brunvoll Volda – Propeller & gearbox • Anda-Olsen – UPS system • Ulmatec – Pyro, energy management system & material handling system • Norwater – R.O water maker • Van Der Velden – Rudder & Steering Gear",Stand: E-N19,https://www.scanvik.com.sg/,No data,mailto:info@scanvik.com.sg,No Data,Singapore
200,Schaller,"""Schaller Automation is the premium supplier and market leader in Oil Mist Detection Technology Made-In-Germany for over 60 years, providing Engine Protection Solutions for all large Diesel, Gas and Dual Fuel Engines and Gensets for marine and power plant applications, protecting them from potential damage caused by oil mist, vibration, wear and tear or insufficient lubrication. The Regional Headquarter and Competence Centre for Asia Pacific in Singapore provides Sales, Services and Support for the APAC region and operates the regional repair facilities for all Schaller equipment.""",Stand: E-P26,https://www.schaller.sg/,(+65) 66435151,mailto:sascha.renye@schallersingapore.com,https://www.linkedin.com/company/schaller-automation-pte-ltd,Singapore
201,Schottel,"The SCHOTTEL Group, with its headquarters in Spay/Germany, is one of the world’s leading manufacturers of propulsion and steering systems, as well as complete propulsion systems with power ratings of up to 30 MW for vessels of all sizes and types. High product quality and a real commitment to local presence are the hallmarks of our success. A long tradition forms a major part of our corporate culture. Worldwide sales and service network.",Stand: E-M19,https://www.schottel.com/,No data,mailto:sales@schottel.de,https://www.linkedin.com/company/schottel-gmbh,Germany
202,SCHOTTEL FAR EAST,No Data,Stand: E-M19,No Data,No data,No Data,No Data,Singapore
203,Scienco/Fast,Manufacturer of the Scienco/FAST InTank and InTank FITT Ballast Water Treatment Systems. InTank is a filterless BWTS treating ballast during the voyage. Providing ballast water compliance while leaving vessel port operations unchanged.,Stand: E-K12,https://www.intankballast.com/,(+1) 714 656 8272,mailto:info@sciencofast.com,No Data,United States
204,SEADRONIX Corp.,"SEADRONIX has developed the state-of-the-art AI technology specialized in maritime environments. With AI-based Berthing Monitoring System(AVISS) and Around View Monitoring System(AVM), Seadronix provides safe berthing process at ports and smart navigation assistance in ocean.",Stand: F-F29,https://www.seadronix.com/,No data,mailto:sales@seadronix.com,https://www.linkedin.com/company/seadronix/about/,South Korea
205,Securistate,"""At SecuriState, we recognise the value of enhanced security as an important component of your business. It’s our mission to provide a secure environment and protect our clients’ personnel, assets, and reputation. With a decade of experience, we are one of the leading maritime security specialists and protection experts on par with global standards. Our hand-picked security operators are highly trained to consistently deliver a keen sense of observation, detailed care, and strict vigilance. We guarantee superior industry, protection, and risk management expertise.",Stand: D-S08,https://securistate.com/about-us/,(+65) 66845650,mailto:info@securistate.com,https://sg.linkedin.com/company/securistate-pte-ltd,Singapore
206,SHANGHAI DONJUN AUTOMATION CO LTD,No Data,Stand: D-U06,No Data,No data,No Data,No Data,Singapore
207,"Shanghai Peiner SMAG Machinery Co., Ltd,",No Data,Stand: E-M06,No Data,No data,No Data,No Data,China
208,"Shenzhen Marinesat Network Technology Co., Ltd","Marinesat, an expert in Satcom and vessel informatization sector, is committed to build a smart maritime service platform so as to enhance safety and benefit of vessels and provide a happier onboard life for their crew. Integrating solutions of internet+shipping, wireless, IoT and bid data, etc. Professional satellite service operator for various scenarios like maritime, land satcom and construction sites. Serving 3500+ vessels worldwide with One-Stop network connectivity service.",Stand: E-L46,https://sg.marinesat.com/,No data,No Data,No Data,China
209,ShipParts.com,"ShipParts.com is an online platform serving various segments of the maritime and oil & gas industry. Founded as an e-procurement platform for marine equipment and spares, ShipParts.com connects Buyers with Sellers globally, providing local manufacturers with online presence and international reach. Also, to global shipowners/ ship management companies with intelligent decision support for efficient online procurement. With our continued growth, ShipParts.com now provides big data analytics and a range of solutions helping companies in their digital transformation.",Stand: E-P28,https://www.shipparts.com/,No data,mailto:sales@shipparts.com,https://www.linkedin.com/company/sps-com,Singapore
210,Shonan Design (S) Pte Ltd,"Shonan Design Singapore is a prototyping service bureau supporting R&D activities to many local and oversea companies. We are also supplier for 3D laser, structured light scanners and advanced CAD/CAM engineering solution to solve metrology, design and manufacturing challenges.",Stand: E-H30,https://www.shonan.com.sg/,(+65) 67413886,mailto:patrick@shonan.com.sg,No Data,Singapore
